,brand,model
1792,samsung,galaxy z fold 3
1793,samsung,galaxy z fold4
1794,samsung,galaxy z fold4
1795,xiaomi,11 lite
1796,xiaomi,11t pro
1797,xiaomi,10
1798,xiaomi,10
1799,xiaomi,mi 10t
1800,xiaomi,mi 11
1801,xiaomi,mi note 10
1802,xiaomi,mi note 10
1803,xiaomi,mi note 10
1804,xiaomi,x3
1805,xiaomi,pocophone f2
1806,xiaomi,redmi 9
1807,xiaomi,9t
1808,xiaomi,redmi note 10
1809,xiaomi,redmi note 10
1810,xiaomi,redmi note 8
1811,xiaomi,redmi note 8
1812,xiaomi,redmi note 8t
1813,xiaomi,redmi note 9
1814,xiaomi,note 9s
1815,xiaomi,note 9s
